label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,int8-group64,382930944,21936396288,21936403968,523415296,109453312,109453312,,85983232,109453312,109453312,310,0,0.3586956522,5,19721.92851,81.55917023,425.3658906,1.157580539,425.3658906,1.157580539,3.1498e-05,0.051922611,0.300919187,0.354602758
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,int8-group64,382930944,21936396288,21936403968,523415296,109453312,109453312,,85983232,109453312,109453312,160,5,0.9895833333,5,18812.45431,63.26486312,761.1921334,1.912908422,761.1921334,1.912908422,0.0001774102,0.4354601468,0.1681581312,0.6050173036
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,int8-group64,382930944,21936396288,21936403968,523415296,109453312,109453312,,85983232,109453312,109453312,170,0,0.94,5,15105.88104,38.54095869,685.7723101,1.178507099,685.7723101,1.178507099,0.0008694362,2.169232655,0.1866513134,2.359131318
