label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,bf16,742653952,21936396288,21936403968,883138304,109453312,109453312,,85983232,109453312,109453312,290,0,0.4046242775,5,19282.99761,100.417843,439.6885902,2.765384244,439.6885902,2.765384244,3.52732e-05,0.0531049298,0.2911243454,0.345747055
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,bf16,742653952,21936396288,21936403968,883138304,109453312,109453312,,85983232,109453312,109453312,165,0,0.9693877551,5,18583.87782,17.24901309,719.2398786,3.589335436,719.2398786,3.589335436,0.0002036994,0.4408125,0.1779692104,0.6226364432
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,bf16,742653952,21936396288,21936403968,883138304,109453312,109453312,,85983232,109453312,109453312,160,0,1,5,15067.80731,9.860182788,681.2033569,0.4785325497,681.2033569,0.4785325497,0.0006960458,2.174703362,0.1879028476,2.36716942
