label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,nvfp4,208871424,21936396288,21936403968,349355776,109453312,109453312,,85983232,109453312,109453312,305,0,0.3681318681,5,19216.09642,52.82210628,425.9587855,2.022298012,425.9587855,2.022298012,1.90318e-05,0.05328898,0.300503987,0.3556535848
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,nvfp4,208871424,21936396288,21936403968,349355776,109453312,109453312,,85983232,109453312,109453312,175,5,0.8761904762,5,18556.61102,6.171903821,699.1642516,8.152822944,699.1642516,8.152822944,6.99066e-05,0.4414599582,0.1830959552,0.6258375726
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,nvfp4,208871424,21936396288,21936403968,349355776,109453312,109453312,,85983232,109453312,109453312,160,0,1,5,14998.80021,14.50356617,746.5966054,0.6071431847,746.5966054,0.6071431847,0.0006506056,2.184709713,0.1714447492,2.361964338
