label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,k8v4,291549696,22079526912,22079534592,432034048,109453312,109453312,,85983232,109453312,109453312,290,0,0.4022988506,5,19459.22289,35.03263426,498.6069451,0.6878789369,498.6069451,0.6878789369,1.69082e-05,0.0526229982,0.2567156284,0.3108248774
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,k8v4,291549696,22079526912,22079534592,432034048,109453312,109453312,,85983232,109453312,109453312,165,0,0.9595959596,5,18734.10326,19.87783004,843.3972036,3.100152267,843.3972036,3.100152267,7.4081e-05,0.437277796,0.15176881,0.590218298
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,k8v4,291549696,22079526912,22079534592,432034048,109453312,109453312,,85983232,109453312,109453312,170,0,0.94,5,15464.18936,14.36641402,769.5405939,0.0814168977,769.5405939,0.0814168977,0.0004270222,2.118961548,0.1663330072,2.288276368
