label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,k8v4,264483840,21038461952,21038469632,399459328,109453312,109453312,,12582912,109453312,109453312,0,0,,5,21033.26685,20.96777343,380.6021265,1.515350287,380.6021265,1.515350287,1.8683e-05,0.0486848202,0.3363134826,0.3855291626
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,k8v4,264483840,21038461952,21038469632,399459328,109453312,109453312,,12582912,109453312,109453312,0,0,,5,19131.23881,13.40421372,372.2677457,0.9380730453,372.2677457,0.9380730453,8.21928e-05,0.4282003534,0.3438402974,0.7727087634
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,k8v4,264483840,21038461952,21038469632,399459328,109453312,109453312,,12582912,109453312,109453312,0,0,,5,15571.36499,13.85730289,352.8856506,0.227469687,352.8856506,0.227469687,0.0007538498,2.104376898,0.3627238522,2.469493565
