label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,int8-group64,382930944,22079526912,22079534592,523415296,109453312,109453312,,85983232,109453312,109453312,290,5,0.3988439306,5,19522.26295,28.31650651,484.9691441,2.362549248,484.9691441,2.362549248,1.56154e-05,0.0524530238,0.263939361,0.3172968494
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,int8-group64,382930944,22079526912,22079534592,523415296,109453312,109453312,,85983232,109453312,109453312,170,0,0.9306930693,5,18599.20728,9.284982006,808.5449289,0.09460945712,808.5449289,0.09460945712,9.72526e-05,0.440448967,0.158309077,0.5994371964
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,int8-group64,382930944,22079526912,22079534592,523415296,109453312,109453312,,85983232,109453312,109453312,170,0,0.94,5,15075.40198,9.275700991,753.5622089,0.6831041832,753.5622089,0.6831041832,0.0004351502,2.173607707,0.1698600098,2.345934412
