label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,int8-group64,347381760,21038461952,21038469632,482357248,109453312,109453312,,12582912,109453312,109453312,0,0,,5,21097.98049,27.35733309,376.0376418,1.469410834,376.0376418,1.469410834,1.75704e-05,0.0485355164,0.340395619,0.3894600602
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,int8-group64,347381760,21038461952,21038469632,482357248,109453312,109453312,,12582912,109453312,109453312,0,0,,5,19183.28927,35.38766641,360.1629424,2.528464567,360.1629424,2.528464567,0.0001423016,0.4270395018,0.3554087702,0.7844469534
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,int8-group64,347381760,21038461952,21038469632,482357248,109453312,109453312,,12582912,109453312,109453312,0,0,,5,15284.28252,25.81637836,333.1787444,0.3555816597,333.1787444,0.3555816597,0.0007907972,2.143906639,0.3841785188,2.530735248
