label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,k8v4,291549696,22079526912,22079534592,432034048,109453312,109453312,,85983232,109453312,109453312,290,0,0.4022988506,5,19512.84486,104.5293933,495.6400974,4.624204564,495.6400974,4.624204564,1.64704e-05,0.052479454,0.2582700126,0.3133526692
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,k8v4,291549696,22079526912,22079534592,432034048,109453312,109453312,,85983232,109453312,109453312,165,0,0.9595959596,5,18750.41613,27.16258212,842.7589108,2.296347209,842.7589108,2.296347209,0.0001142192,0.4368977042,0.151883009,0.5916593614
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,k8v4,291549696,22079526912,22079534592,432034048,109453312,109453312,,85983232,109453312,109453312,170,0,0.94,5,15470.00946,10.15378154,769.6571402,0.3585539063,769.6571402,0.3585539063,0.0004243634,2.118163623,0.1663078474,2.287870271
