label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,k8v4,264483840,21038461952,21038469632,399459328,109453312,109453312,,12582912,109453312,109453312,0,0,,5,21015.98528,24.86156686,380.2080032,2.206261511,380.2080032,2.206261511,1.42454e-05,0.0487248698,0.3366669548,0.3859375466
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,k8v4,264483840,21038461952,21038469632,399459328,109453312,109453312,,12582912,109453312,109453312,0,0,,5,19115.91652,23.26824647,371.9262186,0.8838939255,371.9262186,0.8838939255,8.15118e-05,0.4285439154,0.3441558398,0.7734138214
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,k8v4,264483840,21038461952,21038469632,399459328,109453312,109453312,,12582912,109453312,109453312,0,0,,5,15561.47253,15.0427811,352.7363684,0.123591833,352.7363684,0.123591833,0.0007335032,2.105714893,0.3628772762,2.471031707
