label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,bf16,742653952,21936396288,21936403968,883138304,109453312,109453312,,85983232,109453312,109453312,290,0,0.4046242775,5,19273.76435,52.17400149,440.6095843,4.148364571,440.6095843,4.148364571,1.7117e-05,0.053129528,0.2905274822,0.3443194378
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,bf16,742653952,21936396288,21936403968,883138304,109453312,109453312,,85983232,109453312,109453312,165,0,0.9693877551,5,18558.12533,7.307259398,726.4347946,14.04751802,726.4347946,14.04751802,0.000169461,0.4414239516,0.1762571396,0.618531731
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,bf16,742653952,21936396288,21936403968,883138304,109453312,109453312,,85983232,109453312,109453312,160,0,1,5,15008.39367,103.2564134,681.7165975,0.4036803006,681.7165975,0.4036803006,0.0006202034,2.183395044,0.1877613606,2.37314927
