label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,k8v4,291549696,21936396288,21936403968,432034048,109453312,109453312,,85983232,109453312,109453312,275,5,0.4444444444,5,19325.60217,44.43623403,465.4497147,0.2304248356,465.4497147,0.2304248356,1.64374e-05,0.0529869296,0.275002908,0.3292907648
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,k8v4,291549696,21936396288,21936403968,432034048,109453312,109453312,,85983232,109453312,109453312,165,0,0.9595959596,5,18713.98756,7.667963066,759.3027201,10.3062193,759.3027201,10.3062193,7.76502e-05,0.437747491,0.1686010268,0.6078215906
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,k8v4,291549696,21936396288,21936403968,432034048,109453312,109453312,,85983232,109453312,109453312,170,0,0.94,5,15384.83057,145.098398,698.5661814,0.6169156564,698.5661814,0.6169156564,0.000795946,2.130043692,0.1832325744,2.319971326
