label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,bf16,673710080,21038461952,21038469632,808685568,109453312,109453312,,12582912,109453312,109453312,0,0,,5,21449.67398,451.2145057,381.1272997,9.656199851,381.1272997,9.656199851,3.83394e-05,0.0477564048,0.3360182826,0.3846296538
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,bf16,673710080,21038461952,21038469632,808685568,109453312,109453312,,12582912,109453312,109453312,0,0,,5,19873.91987,96.49066488,358.2569734,2.547725606,358.2569734,2.547725606,0.0001329736,0.4122062632,0.3572998972,0.7706448102
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,bf16,673710080,21038461952,21038469632,808685568,109453312,109453312,,12582912,109453312,109453312,0,0,,5,15438.17489,60.07466263,310.6396777,1.297979161,310.6396777,1.297979161,0.000705764,2.122556348,0.4120587286,2.536651467
