label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,fp8-e4m3-row256,374227968,21936396288,21936403968,514712320,109453312,109453312,,85983232,109453312,109453312,295,5,0.3863636364,5,19381.66218,19.98456741,433.5542168,1.200746314,433.5542168,1.200746314,1.70192e-05,0.0528334908,0.2952359434,0.3493385738
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,fp8-e4m3-row256,374227968,21936396288,21936403968,514712320,109453312,109453312,,85983232,109453312,109453312,160,5,0.9895833333,5,18751.77434,9.281412451,759.1664758,1.798598276,759.1664758,1.798598276,0.000101616,0.436865411,0.1686067252,0.6092909124
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,fp8-e4m3-row256,374227968,21936396288,21936403968,514712320,109453312,109453312,,85983232,109453312,109453312,160,0,1,5,15453.7935,25.78780231,728.0435087,6.588127559,728.0435087,6.588127559,0.0005968058,2.120390245,0.1758253004,2.300793765
