label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,fp8-e4m3-row256,374227968,22079526912,22079534592,514712320,109453312,109453312,,85983232,109453312,109453312,300,0,0.384180791,5,19553.40418,38.60151906,482.2175814,0.8047364143,482.2175814,0.8047364143,1.4598e-05,0.0523695606,0.265440935,0.3187399844
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,fp8-e4m3-row256,374227968,22079526912,22079534592,514712320,109453312,109453312,,85983232,109453312,109453312,170,0,0.9306930693,5,18767.52895,15.80868922,821.1100646,0.5283989852,821.1100646,0.5283989852,7.89172e-05,0.4364988418,0.1558865832,0.5931450192
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,fp8-e4m3-row256,374227968,22079526912,22079534592,514712320,109453312,109453312,,85983232,109453312,109453312,160,0,1,5,15463.99981,19.87696019,806.8896432,0.2933858334,806.8896432,0.2933858334,0.0006144982,2.118988856,0.1586338536,2.280534039
