label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,bf16,673710080,21038461952,21038469632,808685568,109453312,109453312,,12582912,109453312,109453312,0,0,,5,21060.93218,27.85445706,372.2980324,0.6183424906,372.2980324,0.6183424906,1.73192e-05,0.048620898,0.3438113338,0.3929165438
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,bf16,673710080,21038461952,21038469632,808685568,109453312,109453312,,12582912,109453312,109453312,0,0,,5,19103.72839,12.54478427,348.8241728,1.338548671,348.8241728,1.338548671,8.24874e-05,0.428816965,0.3669513884,0.7963826586
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,bf16,673710080,21038461952,21038469632,808685568,109453312,109453312,,12582912,109453312,109453312,0,0,,5,15195.91215,15.54470423,308.3450422,0.2419583982,308.3450422,0.2419583982,0.0007638162,2.156371206,0.4151195758,2.573600244
