label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,fp8-e4m3-row256,339486720,21038461952,21038469632,474462208,109453312,109453312,,12582912,109453312,109453312,0,0,,5,21089.81658,23.47467002,380.7708525,2.013740969,380.7708525,2.013740969,1.74468e-05,0.0485542874,0.3361677232,0.3852907794
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,fp8-e4m3-row256,339486720,21038461952,21038469632,474462208,109453312,109453312,,12582912,109453312,109453312,0,0,,5,19199.29618,21.63317099,370.8477679,2.369956553,370.8477679,2.369956553,0.0001140858,0.4266827406,0.3451664402,0.7736260184
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,fp8-e4m3-row256,339486720,21038461952,21038469632,474462208,109453312,109453312,,12582912,109453312,109453312,0,0,,5,15599.46351,30.51919717,348.6418408,0.1983188,348.6418408,0.1983188,0.0009080078,2.10059148,0.3671390468,2.470684964
