label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,k8v4,291549696,21936396288,21936403968,432034048,109453312,109453312,,85983232,109453312,109453312,275,5,0.4444444444,5,19344.10498,113.695546,464.5734581,1.991521902,464.5734581,1.991521902,1.57884e-05,0.0529374754,0.275525623,0.3297510278
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,k8v4,291549696,21936396288,21936403968,432034048,109453312,109453312,,85983232,109453312,109453312,165,0,0.9595959596,5,18730.18094,19.71169514,758.4752735,8.132776982,758.4752735,8.132776982,9.01844e-05,0.4373693604,0.1687753212,0.609324873
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,k8v4,291549696,21936396288,21936403968,432034048,109453312,109453312,,85983232,109453312,109453312,170,0,0.94,5,15453.21525,20.96966538,698.598178,0.1922910284,698.598178,0.1922910284,0.000729251,2.120467987,0.183224079,2.310738902
