label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,fp8-e4m3-row256,374227968,21936396288,21936403968,514712320,109453312,109453312,,85983232,109453312,109453312,295,5,0.3863636364,5,19369.99208,23.96271407,433.5442479,1.247863052,433.5442479,1.247863052,1.73326e-05,0.0528653418,0.2952428778,0.3491424148
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,fp8-e4m3-row256,374227968,21936396288,21936403968,514712320,109453312,109453312,,85983232,109453312,109453312,160,5,0.9895833333,5,18701.73068,54.96397483,758.8917203,9.503543705,758.8917203,9.503543705,8.10852e-05,0.4380373648,0.1686885382,0.607451381
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,fp8-e4m3-row256,374227968,21936396288,21936403968,514712320,109453312,109453312,,85983232,109453312,109453312,160,0,1,5,15450.76114,16.98057498,732.9858261,0.9449950337,732.9858261,0.9449950337,0.0006702062,2.120803717,0.1746284382,2.298685631
