label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,nvfp4,189480960,21038461952,21038469632,324456448,109453312,109453312,,12582912,109453312,109453312,0,0,,5,21014.55417,18.22899359,379.5497531,1.957759638,379.5497531,1.957759638,1.9771e-05,0.0487281628,0.3372488824,0.3865261542
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,nvfp4,189480960,21038461952,21038469632,324456448,109453312,109453312,,12582912,109453312,109453312,0,0,,5,19004.97597,12.01993118,371.0544728,0.8413638727,371.0544728,0.8413638727,8.36642e-05,0.4310451448,0.344964248,0.7766920788
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,nvfp4,189480960,21038461952,21038469632,324456448,109453312,109453312,,12582912,109453312,109453312,0,0,,5,15088.08209,81.06704263,353.4090356,0.1615712294,353.4090356,0.1615712294,0.0008769514,2.171830851,0.3621866124,2.536424388
