label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,fp8-e4m3-row256,374227968,22079526912,22079534592,514712320,109453312,109453312,,85983232,109453312,109453312,300,0,0.384180791,5,19134.65104,622.7638571,481.4907075,0.1712786494,481.4907075,0.1712786494,2.55826e-05,0.0535629398,0.2658410868,0.3204442636
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,fp8-e4m3-row256,374227968,22079526912,22079534592,514712320,109453312,109453312,,85983232,109453312,109453312,170,0,0.9306930693,5,18772.56556,75.53288493,803.6283895,29.46437997,803.6283895,29.46437997,0.000140391,0.4363871138,0.1594579436,0.5976373574
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,fp8-e4m3-row256,374227968,22079526912,22079534592,514712320,109453312,109453312,,85983232,109453312,109453312,160,0,1,5,15455.61011,14.49572494,806.2375186,0.5463639738,806.2375186,0.5463639738,0.0003754782,2.12013779,0.158762206,2.28293912
