label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,nvfp4,208871424,22079526912,22079534592,349355776,109453312,109453312,,85983232,109453312,109453312,340,5,0.2935323383,5,19347.18174,117.8248608,417.5821419,5.151143388,417.5821419,5.151143388,1.64924e-05,0.0529291792,0.3065640976,0.362119013
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,nvfp4,208871424,22079526912,22079534592,349355776,109453312,109453312,,85983232,109453312,109453312,180,0,0.8518518519,5,18588.66098,21.45399585,769.8261678,11.91388894,769.8261678,11.91388894,0.0001254776,0.4406992388,0.1663036968,0.6143226826
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,nvfp4,208871424,22079526912,22079534592,349355776,109453312,109453312,,85983232,109453312,109453312,160,0,1,5,15005.80508,16.44256042,824.3601996,0.08852190666,824.3601996,0.08852190666,0.0007498164,2.183690331,0.1552719324,2.343651847
