label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,nvfp4,208871424,22079526912,22079534592,349355776,109453312,109453312,,85983232,109453312,109453312,340,5,0.2935323383,5,19323.52776,61.60273155,420.6533243,1.844361611,420.6533243,1.844361611,1.25046e-05,0.0529928234,0.3042932622,0.3594337038
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,nvfp4,208871424,22079526912,22079534592,349355776,109453312,109453312,,85983232,109453312,109453312,180,0,0.8518518519,5,18565.71835,5.892274084,779.7991466,0.8693085706,779.7991466,0.8693085706,7.34536e-05,0.4412433986,0.1641449954,0.606658973
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,nvfp4,208871424,22079526912,22079534592,349355776,109453312,109453312,,85983232,109453312,109453312,160,0,1,5,15016.7908,7.408823309,825.6878337,0.689869276,825.6878337,0.689869276,0.000413542,2.182091155,0.1550223538,2.34104212
