label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,nvfp4,189480960,21038461952,21038469632,324456448,109453312,109453312,,12582912,109453312,109453312,0,0,,5,20993.5947,40.61385207,379.6515435,1.674569737,379.6515435,1.674569737,1.79756e-05,0.0487769286,0.337156534,0.3866253816
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,nvfp4,189480960,21038461952,21038469632,324456448,109453312,109453312,,12582912,109453312,109453312,0,0,,5,18995.97654,28.49565906,368.6859897,2.181175947,368.6859897,2.181175947,0.000156545,0.431249993,0.3471886958,0.7799966504
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,nvfp4,189480960,21038461952,21038469632,324456448,109453312,109453312,,12582912,109453312,109453312,0,0,,5,15108.04852,11.86833493,353.2789138,0.1388930338,353.2789138,0.1388930338,0.0008549676,2.168911235,0.3623199994,2.533944988
