label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,int8-group64,382930944,22079526912,22079534592,523415296,109453312,109453312,,85983232,109453312,109453312,290,5,0.3988439306,5,19489.49111,31.66635915,484.6817922,2.956184839,484.6817922,2.956184839,1.55582e-05,0.0525412466,0.2640987198,0.317709179
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,int8-group64,382930944,22079526912,22079534592,523415296,109453312,109453312,,85983232,109453312,109453312,170,0,0.9306930693,5,18588.35577,15.97371023,808.5746026,0.3753430591,808.5746026,0.3753430591,7.05726e-05,0.4407062648,0.1583032928,0.5996908574
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,int8-group64,382930944,22079526912,22079534592,523415296,109453312,109453312,,85983232,109453312,109453312,170,0,0.94,5,15068.88363,10.14858134,753.0862447,1.30180422,753.0862447,1.30180422,0.0003913908,2.174548075,0.1699676592,2.347361861
