label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,nvfp4,208871424,21936396288,21936403968,349355776,109453312,109453312,,85983232,109453312,109453312,305,0,0.3681318681,5,19119.89055,41.67610973,424.6257803,2.35934502,424.6257803,2.35934502,1.63306e-05,0.0535569952,0.3014493392,0.3600294426
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,nvfp4,208871424,21936396288,21936403968,349355776,109453312,109453312,,85983232,109453312,109453312,175,5,0.8761904762,5,18580.43692,26.59526654,700.2498812,2.049522997,700.2498812,2.049522997,0.0001203184,0.440894554,0.1827931426,0.627829958
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,nvfp4,208871424,21936396288,21936403968,349355776,109453312,109453312,,85983232,109453312,109453312,160,0,1,5,15003.1896,20.07813122,746.7471748,0.1973781554,746.7471748,0.1973781554,0.0006776492,2.184072041,0.171410099,2.362320329
