label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,int8-group64,382930944,21936396288,21936403968,523415296,109453312,109453312,,85983232,109453312,109453312,310,0,0.3586956522,5,19298.09511,64.65897272,414.5876583,2.671445798,414.5876583,2.671445798,1.59046e-05,0.0530627102,0.308750832,0.3629381638
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,int8-group64,382930944,21936396288,21936403968,523415296,109453312,109453312,,85983232,109453312,109453312,160,5,0.9895833333,5,18542.57194,13.52892942,735.2992071,14.81859543,735.2992071,14.81859543,0.0001515108,0.4417943486,0.1741356,0.617283987
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,full,mtp_cuda_graph,int8-group64,382930944,21936396288,21936403968,523415296,109453312,109453312,,85983232,109453312,109453312,170,0,0.94,5,15050.72046,11.90259882,683.8467538,0.4185755077,683.8467538,0.4185755077,0.0009203546,2.177172614,0.1871764948,2.367631438
