label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,bf16,742653952,22079526912,22079534592,883138304,109453312,109453312,,85983232,109453312,109453312,320,5,0.328125,5,19500.61997,147.1951002,437.8050064,2.92041313,437.8050064,2.92041313,4.50022e-05,0.0525135208,0.292378103,0.3462925638
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,bf16,742653952,22079526912,22079534592,883138304,109453312,109453312,,85983232,109453312,109453312,165,0,0.9693877551,5,18575.9845,36.22820691,809.8175461,0.2171465343,809.8175461,0.2171465343,0.000171864,0.4410008516,0.1580603038,0.5999212514
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,bf16,742653952,22079526912,22079534592,883138304,109453312,109453312,,85983232,109453312,109453312,160,0,1,5,15071.28991,14.00248978,745.0500514,0.4156702401,745.0500514,0.4156702401,0.0005555502,2.1742016,0.1718005812,2.347813735
