label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,fp8-e4m3-row256,339486720,21038461952,21038469632,474462208,109453312,109453312,,12582912,109453312,109453312,0,0,,5,21066.27067,17.46703811,381.0070342,1.686351912,381.0070342,1.686351912,1.59138e-05,0.0486085354,0.3359570928,0.3850761626
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,fp8-e4m3-row256,339486720,21038461952,21038469632,474462208,109453312,109453312,,12582912,109453312,109453312,0,0,,5,19135.75932,64.57708829,366.3155204,13.85630732,366.3155204,13.85630732,8.20646e-05,0.4281029156,0.3498472966,0.7785889114
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32896,1024,0,full,cuda_graph,fp8-e4m3-row256,339486720,21038461952,21038469632,474462208,109453312,109453312,,12582912,109453312,109453312,0,0,,5,15533.77654,79.957828,348.9264078,0.7584532931,348.9264078,0.7584532931,0.0007493378,2.109512704,0.3668409216,2.478563802
