label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,workspace_general_capacity_bytes,vision_handoff_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp1024+tg128,pp+tg,1024,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,bf16,742653952,22079526912,22079534592,883138304,109453312,109453312,,85983232,109453312,109453312,320,5,0.328125,5,19601.73211,60.21186327,439.3943462,1.227926373,439.3943462,1.227926373,1.80624e-05,0.0522406742,0.291311901,0.3441706694
pp8192+tg128,pp+tg,8192,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,bf16,742653952,22079526912,22079534592,883138304,109453312,109453312,,85983232,109453312,109453312,165,0,0.9693877551,5,18635.24479,19.26766217,805.0211136,9.877619988,805.0211136,9.877619988,8.18504e-05,0.439597499,0.159021349,0.599179646
pp32768+tg128,pp+tg,32768,128,qwen3_6_35b_a3b,groupwise-int,32902,1024,3,optimized,mtp_cuda_graph,bf16,742653952,22079526912,22079534592,883138304,109453312,109453312,,85983232,109453312,109453312,160,0,1,5,14949.7582,289.5263545,746.0216152,0.20295197,746.0216152,0.20295197,0.0006997568,2.192550305,0.1715768082,2.366286073
